user_id,daily_screen_time_hours,social_media_hours,work_study_hours,sleep_hours,notification_count,breaks_per_day,stress_level,productivity_score
1,7.49,1.69,5.7,4.23,197,11,8,34
2,6.22,2.13,5.57,5.43,249,8,7,1
3,7.8,1.78,3.13,6.04,12,2,10,32
4,9.55,2.63,6.16,6.99,15,2,2,4
5,6.03,3.94,2.02,8.13,157,5,8,24
6,6.03,1.57,3.69,7.7,13,10,9,71
7,9.66,3.7,1,5.27,110,10,10,76
8,8.03,1.56,8.12,6.32,62,10,8,22
9,5.56,1.48,4.54,6.9,112,1,6,35
10,7.59,3.48,9.33,6.46,80,12,9,85
11,5.57,3.61,6.61,6.45,199,7,8,29
12,5.57,3.52,5.9,4.56,218,9,4,17
13,6.98,0.92,3.83,5.3,175,14,6,28
14,2.67,1.94,2.91,6.28,173,2,5,47
15,3.05,3.49,6.05,3,43,10,10,41
16,5.38,2.55,4.86,7.63,15,1,9,17
17,4.47,1.21,2.32,5.02,240,9,4,4
18,7.13,3.05,1.97,7.69,137,13,1,41
19,4.68,1.64,3.08,7.58,203,13,9,6
20,3.68,4.65,8.64,6.09,155,2,9,79
21,9.43,4.35,9.43,8.1,243,9,7,44
22,6.05,3.22,5.41,7.77,36,14,5,24
23,6.64,4.13,5.3,6.4,48,13,7,54
24,3.65,2.58,4.33,6.25,242,8,9,72
25,5.41,3.42,3.13,8.23,60,7,3,91
26,6.72,4.27,7.75,7.1,28,11,5,31
27,4.2,2.79,8.75,8.16,105,1,3,9
28,7.25,2.19,3.21,3.69,97,4,8,82
29,5.3,0.45,4.83,6.93,171,11,1,53
30,5.92,2.4,4.1,4.75,98,11,4,2
31,5.3,3.49,4.16,6.77,33,7,7,86
32,10.2,3.63,7.37,7.73,162,6,9,20
33,6.47,3.11,2.38,9.06,85,1,10,4
34,4.38,1.85,5.93,5.58,103,7,2,44
35,8.15,0.13,6.46,6.12,207,14,9,62
36,4.06,1.91,4.72,6.68,39,2,6,13
37,6.92,2.13,6.79,5.53,234,12,7,20
38,2.58,2.12,5.3,8.07,216,13,4,52
39,3.84,3.24,7.43,6.71,230,14,5,6
40,6.89,4.88,1.96,6.96,63,13,1,15
41,7.98,2.65,4.3,7.61,124,8,4,72
42,6.84,2.24,4.86,6.71,87,2,8,64
43,6.27,2.19,1,5.74,129,4,6,94
44,5.9,2.65,2.83,6.72,34,6,7,36
45,3.54,1.51,3.37,5.69,246,8,1,36
46,5.06,2.64,6.9,6.94,134,12,7,3
47,5.58,3.04,3.59,8.1,14,11,6,91
48,8.61,2.75,3.36,5.27,11,3,4,94
49,7.19,3.05,6.63,4.81,120,12,2,93
50,2.97,3.02,1.76,6.86,89,6,2,80
51,7.15,0.37,1,5.8,112,14,7,40
52,5.73,3.26,4.28,6.84,200,6,3,38
53,5.15,1.69,2.1,7.22,133,1,2,84
54,7.72,1.18,2.18,4.01,191,6,10,45
55,8.56,1.17,6.15,7.7,175,1,3,62
